Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
541.82,5,9,23,372.85,183.67,37.98,0.25,2002.24,1572.55,98.283,240.27,340.25,4,0.86,3781,0.26,2,45.63,52.25,1.04,3
6840.94,6,7,20,351.1,227.56,27.99,0.25,1967.1,1544.95,96.563,234.6,285.65,2,0.82,3378,0.14,2,21.7,59.19,1.05,3
3339.53,6,5,16,342.16,285.38,23.99,0.25,1355.25,1064.41,66.533,240.3,284.7,2,0.86,2450,0.2,2,26.01,48.77,1.04,3
6291.16,4,9,22,329.2,154.47,28.02,0.25,1803.47,1416.44,88.533,211.73,584.4,3,0.85,3183,0.44,2,34.07,47.85,1.05,3
1908.67,7,10,27,363.84,237,37.97,0.25,2634,2068.74,129.33,260,317.7,3,0.82,4857,0.33,2,46.15,47.28,1.05,3
4532.49,6,4,14,408.24,196.66,25.69,0.25,1741.47,1367.75,85.483,244.74,273.19,3,0.84,3138,0.5,2,49.76,24.08,1.04,3
2641.55,5,6,17,385.75,146.7,25.97,0.25,1685.34,1323.66,82.733,211.86,269.7,3,0.87,3123,0.33,2,75.54,74.73,1.04,3
4723.04,4,4,12,282.52,169.83,9.96,0.25,862.83,677.67,42.353,229.1,256.99,2,0.82,1560,0.25,2,38.03,52.73,1.07,3
1523.48,6,4,14,226.93,173.1,23.98,0.25,1020.59,801.57,50.13,208.96,251.3,2,0.84,1852,0,2,31.31,42.85,1.05,3
2780.37,5,8,21,386.78,228.03,28,0.25,1726.66,1356.12,84.763,230.76,268.16,3,0.88,3190,0.5,2,46.92,48.01,1.04,3
2734.43,4,2,8,334.73,118.55,8,0.25,633.84,497.82,31.113,296.89,313.29,1,0.89,1120,0,2,43.39,37.81,1.04,3
3250.3,3,7,17,395.25,90.67,16,0.25,1125.69,884.12,55.263,222.74,255.71,4,0.86,2085,0.5,2,35.52,49.3,1.05,3
1607.44,4,9,22,282.02,156.24,22,0.25,1752.63,1376.51,86.033,200.71,245.63,4,0.87,3313,0.33,2,14.01,69.62,1.04,3
1560.92,5,6,17,316.49,168.91,14.14,0.25,1184.43,930.25,58.143,221.22,252.33,2,0.88,2185,0.33,2,36.26,56.79,1.04,3
1867.36,7,4,15,259.46,120.23,22,0.25,1209.62,950.03,59.383,228.4,271.47,3,0.82,2132,0.33,2,5.67,46.06,1.06,3
2969.54,4,3,10,347.57,109,23.96,0.25,1039.76,816.63,51.043,207.58,242.16,2,0.85,1921,0.33,2,1.07,22.52,1.04,3
1623.37,6,8,22,384.97,197.26,36,0.25,1944.45,1527.17,95.453,214.84,385.56,3,0.83,3663,0.38,2,27.71,46.83,1.06,3
2706.24,6,2,10,320.02,225.79,28,0.25,1453.11,1141.27,71.333,282.18,326.52,1,0.85,2518,0,2,0.61,60.67,1.05,3
3174.93,5,5,15,397.19,334.03,27.94,0.25,1418.42,1114.03,69.633,285.91,382.23,3,0.81,2454,0.6,2,43.36,59.65,1.06,3
988.36,3,7,17,423.61,138.66,36.88,0.25,1755.82,1379.01,86.193,241.43,318.41,4,0.86,3258,0.71,2,51.73,47.03,1.05,3
3411.5,4,6,16,376.51,162.58,20,0.25,1452.06,1140.44,71.283,213.8,246.95,3,0.84,2745,0.22,2,9.45,58.1,1.05,3
2672.39,7,0,7,246.5,125.54,28,0.25,877.7,689.34,43.083,159.87,182.47,0,0.82,1451,0,0,0,0,1.06,3
11270.6,3,7,17,395.73,299.81,31.97,0.25,1939.17,1523.02,95.193,287.22,339.94,3,0.86,3525,0.43,2,61.3,72.53,1.04,3
3231.11,6,4,14,413.35,284.18,29.99,0.25,1945.03,1527.63,95.483,292.94,358.16,3,0.83,3536,0.5,2,44.76,77.78,1.04,3
4865.63,5,8,21,440.7,201.96,23.98,0.25,2167.28,1702.17,106.393,284.99,321.43,2,0.85,3816,0.25,2,31.09,54.27,1.05,3
1456.2,4,5,14,275.32,77.44,17.99,0.25,756.68,594.3,37.143,239.48,277.64,4,0.87,1381,0.47,2,48.61,53.27,1.04,3
2946.72,4,5,14,229.08,292.84,20,0.25,977.84,768,483,198.86,262.01,2,0.84,1751,0.2,2,2.38,62.06,1.05,3
3066.82,5,15,35,415.47,181.06,38,0.25,2242.84,1761.52,110.13,245.77,292.87,4,0.84,4106,0.41,2,17.45,53.8,1.06,3
3443.73,5,10,25,386.4,128.74,19.99,0.25,1641.62,1289.33,80.583,229.87,264.55,4,0.86,3025,0.35,2,28.09,53.63,1.04,3
4914.35,5,5,15,300.36,125.24,28,0.25,1113.63,874.64,54.663,218.03,253.05,3,0.87,1887,0.2,2,47.07,46.77,1.05,3
2683.95,5,8,21,409.2,208.9,23.97,0.25,1882.48,1478.49,92.413,281.64,336.18,5,0.86,3509,0.42,2,20.16,66.43,1.04,3
3531.56,7,5,17,418.57,169.2,42,0.25,1697.71,1333.38,83.343,241.78,291.93,4,0.85,3105,0.5,2,34.55,59.04,1.04,3
5940.56,5,6,17,344.67,203.99,21.85,0.25,1283.85,1008.33,63.023,205.32,249.6,3,0.87,2355,0.33,2,48.61,60.81,1.04,3
